text,channel_id
Восстановление аммиакопровода Тольятти Одесса займет от 1 до 3 месяцев при наличии доступа к объекту заявили в МИД РФ. В ведомстве отметили что Россия предпримет усилия для выяснения обстоятельств подрыва аммиакопровода.,-1001394050290
Дополнительные 39 миллионов рублей были выделены на социальные учреждения Марий Эл. Об этом заявили участники Съезда соцработников. Семь автобусов для детских учреждений будут закуплены на 29 миллионов рублей. Оставшиеся 10 миллионов уйдут на улучшение материальнотехнической базы социальных учреждений что необходимо для реализации пилотного проекта по созданию системы долговременного ухода. Всего в этом году на обновление материальнотехнической базы и соцучреждений будет потрачено 53 миллиона рублей из бюджета республики сообщаетесь прессслужба Главы Марий Эл.,-1001098860759
Россия уничтожена санкциями Байден. Аххаха ,-1001797434593
Правоохранители провели обыски в министерстве образования и науки Дагестана сообщает ТАСС. В правоохранительных органах уточнили что обыски прошли по уголовному делу связанному с выплатами директорам школ.,-1001394050290
 В загородных детских лагерях Марий Эл в данный момент отдыхают 2335 детей и ещё 12265 ребят посещают 175 пришкольных лагерей. Всего на территории республики планируется открыть 200 оздоровительных организаций для детей и подростков из которых в первую смену будут функционировать 192 лагеря включая 13 загородных 177 пришкольных и 2 палаточных. Все организации которые начнут работу в первую смену имеют санитарноэпидемиологические заключения от Роспотребнадзора. В некоторых лагерях расположенных на берегу озер дети смогут купаться ведь их администрация получила разрешение от надзорной инстанции.,-1001098860759
ВестиМагадан показывают в каких условиях живут пассажиры самолета летевшего из Дели в СанФранциско но аварийно севшего в аэропорту Магадана 232 пассажира и 11 членов экипажа Boeing которые планировали долететь до американского СанФранциско неожиданно оказались в столице Колымы изза неисправности двигателя. Отремонтировать борт не удалось поэтому большую часть вынужденных путешественников разместили недалеко от аэропорта в образовательном учреждении поселка Сокол. Росавиация разрешила авиакомпании выслать за ними резервный борт самолет уже в пути.,-1001394050290
30 человек скончались изза отравления сидром трое находятся в крайне тяжелом состоянии всего пострадали 96 человек Минздрав РФ,-1001394050290
Эрдоган провел телефонный разговор с Зеленским обсудил идею создания международной комиссии по расследованию разрушения Каховской ГЭС Эрдоган заявил Зеленскому о возможности создания комиссии с участием ООН и экспертов для расследования разрушения ГЭС сообщили в канцелярии турецкого лидера.,-1001394050290
Возобновление переговорного процесса по Украине зависит от готовности к этому Киева оно возможно только с учетом признания новых геополитических реалий МИД РФ,-1001394050290
Секретарь Совбеза РФ Патрушев заявил что подрыв плотины Каховской ГЭС осуществила Украина Патрушев заявил что Киев сперва произвел масштабный сброс воды на ДнепроГЭС а затем нанес удар по Каховской ГЭС,-1001394050290
Киевский нацистский режим созданный США и Британией необходимо сменить придав на практике Украине статус нейтрального государства Патрушев,-1001394050290
Сторонники идеи золотого миллиарда в стремлении сократить население Земли которое они никогда не скрывали дошли до Украины Об этом заявила официальный представитель МИД РФ Мария Захарова в среду на брифинге.,-1001394050290
Россия начинает создание в Киргизии русскоязычных школ Мишустин,-1001394050290
Это похоже на сформировавшуюся цель. Четкую понятную цель. ,-1001797434593
МЧС РФ доставит в затопленные районы Херсонской области электростанции мотопомпы и тепловые пушки ведомство,-1001394050290
Эрдоган провел телефонные переговоры с Путиным обсуждена ситуация на Украине сообщила канцелярия турецкого президента. Эрдоган в разговоре с Путиным выступил с инициативой создания международной комиссии по Каховской ГЭС.,-1001394050290
Москва дорожит братскими отношениями с Ереваном которые носят стратегический и союзнический характер заявил премьерминистр РФ Михаил Мишустин.,-1001394050290
В России МНОГО хороших душевных людей. И каюсь до начала СВО я об этом и не подозревал ,-1001797434593
Польша депортировала россиянина который выдавал себя за экссотрудника контрразведки ФСБ,-1001394050290
 Отряд ЛизАлерт в Марий Эл опубликовал статистику за прошлый месяц всего поступило 22 заявки на поиск. В 16 случая волонтеры успешно отработали и нашли пропавших. Один из поисковых дней закончился печальными известиями потерявшийся погиб. Трижды родственники справились сами. Еще троих людей найти к сожалению не удалось. Мы благодарим всех кто принимал участие в поисковоспасательных работах и не остался равнодушным заявили волонтеры в паблике во Вконтакте.,-1001098860759
36 населенных пунктов в трех округах подверглись затоплению изза разрушения плотины Каховской ГЭС в Херсонской области Сальдо,-1001394050290
Украина обратилась в Международный уголовный суд в Гааге в связи с разрушением Каховской ГЭС,-1001394050290
В 30 регионах России отмечается тенденция к увеличению уровня ожирения среди граждан особенно среди мужчин сообщила главный внештатный специалист по терапии и общей врачебной практике Минздрава России Оксана Драпкина.,-1001394050290
Путин в беседе с Эрдоганом констатировал что Киев с подачи запада делает опасную ставку на эскалацию боевых действий Кремль,-1001394050290
Путин в ходе разговора с Эрдоганом назвал разрушение Каховской ГЭС варварской акцией Киева осуществлённой с подачи западных кураторов Кремль,-1001394050290
Секретарь Совета национальной безопасности СНБО Украины Алексей Данилов заявил что запланированное наступление еще не начиналось. Когда мы начнем контрнаступление все об этом узнают они увидят его сказал Данилов агентству Reuters.,-1001394050290
Команда ученых из Политехнического института Вирджинии обнаружила способность крокодилов к так называемому однополому размножению после того как самка крокодила в зоопарке КостаРики дала потомство несмотря на отсутствие самца на протяжении 16 лет сообщает американское издание New York Times со ссылкой на исследование.,-1001394050290
Дефицита рыбы в РФ нет не было и не будет глава Росрыболовства,-1001394050290
 За первый месяц работы на новых маршрутах в ЙошкарОле водители заработали более 50 тысяч рублей. Для запуска всего закупленного транспорта требуются дополнительные водители. МП Троллейбусный транспорт продолжает набор сотрудников. Предприятие готово обучить желающих категории D за свой счет сообщает столичная администрация. За первый месяц работы на новых маршрутах в ЙошкарОле водители заработали более 50 тысяч рублей. Для запуска всего закупленного транспорта требуются дополнительные водители. МП Троллейбусный транспорт продолжает набор сотрудников. Предприятие готово обучить желающих категории D за свой счет сообщает столичная администрация.,-1001098860759
Россия будет предельно жестко отвечать на любые атаки Киева на Запорожскую АЭС МИД РФ,-1001394050290
Путин и президент ЮАР обсудили африканскую инициативу по урегулированию на Украине условились что президент России примет в ближайшее время делегацию ряда глав государств Африки Кремль,-1001394050290
Пассажиры самолета летевшего из Дели в СанФранциско и совершившего экстренную посадку в Магадане пожаловались что не могут воспользоваться кредитными картами они просто не работают в России Al Jazeera,-1001394050290
Власти НьюЙорка призвали находящихся в зоне риска жителей носить на улице маски в связи с дымом от лесных пожаров окутавшим город говорится в заявлении опубликованном на сайте офиса мэра города Эрика Адамса. Как сообщает газета Washington Post это произошло впервые за многие годы изза лесных пожаров в Канаде. В среду утром качество воздуха в городе было признано очень вредным для здоровья.,-1001394050290
Лето в Москве будет раскачиваться почти весь июнь купальный сезон будет отложен на вторую половину месяца а настоящая жара наступит только в июле сообщил РИА Новости ведущий специалист центра погоды Фобос Евгений Тишковец.,-1001394050290
За прошедший месяц специалисты ЦУР в системе Инцидент Менеджмент получили и обработали 3726 сообщений жителей Марий Эл. Чаще всего граждане интересовались вопросами общественного транспорта более тысячи обращений. Далее по популярности идет тема дорог и благоустройства 728 и 603 сообщения соответственно. Реже обращались по темам ЖКХ и соцподдержки в сумме чуть более 400 комментариев. Администрация ЙошкарОлы получила больше всего сообщений 1217. С небольшим отрывом за ней следует региональный Минтранс 986 а на третьем месте оказалась мэрия Волжска к которой обратились 217 раз.,-1001098860759
В Николаеве на Украине быстро повышается уровень воды после разрушения Каховской гидроэлектростанции сообщило украинское издание Страна. Сообщается что уровень воды повышается каждый час. Как заявил мэр города Александр Синкевич по состоянию на 15.00 уровень воды в акватории Николаева в целом поднялся на 77 сантиметров.,-1001394050290
Лукашенко помиловал россиянку Софью Сапегу БЕЛТА,-1001394050290
Помилованную Президентом Беларуси Александром Лукашенко Софью Сапегу передали 7 июня делегации Приморского края возглавляемой губернатором Олегом Кожемяко По нашему обращению вчера Александр Григорьевич подписал указ о помиловании. Думаю что такой шаг имеет и для тебя значение обратился к помилованной Олег Кожемяко. Хочется поблагодарить Президента Александра Григорьевича Лукашенко за ту возможность которую он мне предоставил за тот подарок не только для меня но и для всей моей семьи. За возможность вернуться домой к своей маме к своему отцу. За то что мне был дан второй шанс. Он дан был далеко не многим а мне действительно очень повезло поделилась первыми эмоциями Софья Сапега.,-1001394050290
Губернатор Приморья Кожемяко выкладывает кадры освобождения Софьи Сапеги помилованной Лукашенко,-1001394050290
Друзья Тот сбор фонда КомандаА о важности которого я говорил Мы КС как волонтеры фонда отвечаем за запуск объекта и техническую сторону его работы. Без вас друзья так нужной фронту рембазе не работать. Спасибо всем кто помогаета не говорит. ,-1001797434593
Пока преждевременно говорить о возможном исходе саммита НАТО в Вильнюсе в июле относительно вопроса членства Украины в альянсе заявил в среду генсек НАТО Йенс Столтенберг выступая в Центре за новую американскую безопасность.,-1001394050290
Путин поручил главе МЧС организовать помощь людям в зоне затопления Херсонской области и работу ликвидации последствий бедствия Песков,-1001394050290
